video_id, duration_minutes, caption, definition, made_for_kids, q_subscribers, channel_antiquity
M9Pmf9AB4Mo,2,true,hd,False,2020000,775
J78aPJ3VyNs,22,false,hd,False,26600000,5127
kXLn3HkpjaA,1,false,hd,False,3810000,5297
VIUo6yapDbc,37,false,hd,False,4030000,4213
w-aidBdvZo8,24,false,hd,False,5460000,4131
uet14uf9NsE,25,false,hd,False,1100000,3261
ua4QMFQATco,18,true,hd,False,4670000,3862
SnsPZj91R7E,20,false,hd,False,2700000,2544
SsWHMAhshPQ,20,false,hd,False,0,0
49Z6Mv4_WCA,10,false,hd,False,12300000,4040
nt3VVyv5pxQ,14,true,hd,False,7160000,5583
I6hswz4rIrU,0,false,hd,False,2130000,2108
W7VK4DUHvKU,3,true,hd,False,931000,1751
W9Aen8hG20Y,10,false,hd,False,4690000,2420
BNeDH6UTmXw,10,false,hd,False,89900,239
6TIsR_7nrNc,2,false,hd,False,3170000,4127
gPdUslndvVI,15,false,hd,False,467000,890
GTp-0S82guE,17,true,hd,False,18400000,3492
jbGRowa5tIk,0,false,hd,False,20000000,4792
vePc5V4h_kg,17,false,hd,False,17000000,3428
5WjcDji3xYc,9,false,hd,False,6740000,4540
FopIxceEr8g,17,false,hd,False,18400000,3162
p7HGUZWq_8s,16,false,hd,False,25700000,1925
AMXT1ok5UBg,11,false,hd,False,19000000,1885
mLOe7vGI0YI,20,false,hd,False,4760000,5474
Que4RnxYLNc,3,false,hd,False,937000,726
z5l8ovbw_6M,8,false,hd,False,2200000,2006
2avPJ9TZNmU,3,false,hd,False,8100000,1134
PT6hPvOqTYc,10,false,hd,False,841000,1476
9nidKH8cM38,50,false,hd,False,1490000,1807
CezxKs9YLv0,2,false,hd,False,402000,738
GYeKX_LPY9U,21,false,hd,False,1630000,2440
9AecsACtkB4,2,false,hd,False,627000,2227
aG8QsfDisdg,2,true,hd,False,182000,5466
GGEBtW2mWOk,31,false,hd,False,16600000,5502
kgkALngcgnE,2,false,hd,False,3840000,1137
5V2B28OqfqM,10,false,hd,False,54800000,3305
Mle7n1PuH9o,17,false,hd,False,4110000,2606
IuMAHR0OtH4,0,false,hd,False,3450,829
n_8hxS_7Vis,18,false,hd,False,1980000,1665
OQZ5ht79nEw,18,false,hd,False,5950000,4130
zHPVGSwLhcg,7,false,hd,False,17800000,3731
gi3VMMiFHVg,2,false,hd,False,2180000,4925
p6RatnMhDj8,26,false,hd,False,343000,4052
zrsBjYukE8s,4,true,hd,False,20000000,4792
N5KpIE2tz8M,2,false,hd,False,1920000,4320
Aur7UgTGlL0,9,false,hd,False,16100000,5587
XsmkTqsygD4,1,false,hd,False,197000,1250
KX06ksuS6Xo,2,false,hd,False,2910000,3187
yVdH3QacEXc,1,false,hd,False,28400000,4778
hsm4poTWjMs,4,false,hd,False,16500000,1559
9wDhKJsF5Zk,2,false,hd,False,740000,5600
Tujt4APHPzo,13,false,hd,False,1610000,3431
rs2Rcu0s_2k,21,true,hd,False,2490000,2558
RQqJeIyyQBs,2,false,hd,False,886000,3931
1mZ1f_8YOEc,6,true,hd,False,182000,5466
lIgtAxmA800,3,true,hd,False,6660,1074
JJk1ji23Ey8,11,true,hd,False,5080000,3039
8fUGbilT5MQ,16,false,hd,False,4350000,2229
JNJN5HMkRao,1,false,hd,False,201000,545
xNFEor9dhY0,1,false,hd,False,869000,1875
6IN4ZcZAUbA,11,true,hd,False,9230000,2562
ar6UiTbuoSU,24,false,hd,False,18400000,3162
28YwvwneKoY,9,false,hd,False,16500000,2383
YHX4lUSGUBI,6,false,hd,False,7730000,5608
KmVG1Yx1kwQ,12,false,hd,False,1030000,2239
FQnJRVn3QVk,17,false,hd,False,1020000,1443
PHYtv0v2DeA,9,false,hd,False,16100000,5587
jp47GeO6k6Q,14,false,hd,False,1650000,4855
8QsH_xPQFqM,1,True,hd,False,2170000,2681
xTpr7piQu2M,3,True,hd,False,4070000,4244
bGtR3l_JeUo,11,True,hd,False,3320000,3045
1hx4vCChBlI,0,True,sd,False,326000,314
lcnWx5tiwhM,8,True,hd,False,4040000,5509
RN8uoBwRr1k,7,True,hd,False,8650000,5314
goOmZUwQYlA,0,True,hd,False,326000,314
KnE6u4hFx14,8,True,hd,False,5810000,3853
iR7UweUPeNw,9,True,hd,False,1210000,1912
5JC2trEXxhE,9,True,hd,False,169000,5480
AG9qDVXEemc,18,True,hd,False,1650000,2970
3qxGj18nAR4,18,True,hd,False,570000,753
BpXkl4VdFhA,16,True,hd,False,14600000,3738
Gj_SlGSZFgA,12,True,hd,False,3250000,3165
vzXYz61U3Gk,20,True,hd,False,1550000,2327
koHs2-xKdEk,43,True,hd,False,1450000,667
hEU_MnFTJ_c,12,True,hd,False,4370000,1561
tbsu-AWH-C0,2,True,hd,False,8770000,5489
MKHriv5r8pk,10,True,hd,False,6860000,3768
vml4hskxqtE,10,True,hd,False,25100000,5589
YFn3NtG4bJ8,2,True,hd,False,75700,2857
vysBEblWBoQ,3,True,hd,False,3360000,2988
F82kzN-ae3o,3,True,hd,False,567000,405
QjB3I4zaKRk,4,True,hd,False,2190000,4037
JXzk8G9aXI8,0,True,hd,False,28000,1514
GsL8veaFW-s,3,True,hd,False,38300,5059
khhxZRo527Q,19,True,hd,False,652000,2006
oXTcmpnjdBk,0,True,hd,False,75700,2857
DrlnrRQK84A,11,True,hd,False,1520000,1517
6rhLJ6T6NDI,10,True,hd,False,2800000,3469
Yvlmj0rtnpc,3,True,hd,False,10200000,3386
ysdw7cmigZM,14,True,hd,False,13900000,4217
Q_KW4u0t07k,4,True,hd,False,1140000,4231
xX9PYIIgoEA,3,True,hd,False,5150000,1817
3LqQB4HV8qg,14,True,hd,False,9420000,4152
nk44yPCN3gM,22,True,hd,False,4750000,2070
UcXVnupm0zk,3,True,hd,False,53100,1481
LNDhIGR-83w,1,True,hd,False,2370000,4143
0a5YhsnITFE,27,True,hd,False,145000,5125
avgBgc210bg,1,True,hd,False,627000,2227
qn515i8xr-4,2,True,hd,False,266000,334
fHKNO3DV78M,1,True,sd,False,1600000,5286
nX0NDmm1K1g,4,True,hd,False,3890000,3655
Oe9naV81gdY,15,True,hd,False,4610000,3832
53sqVjcdM4Q,13,True,hd,False,1680000,2461
kzST_Q2Xbks,9,True,hd,False,1210000,1912
YwJyis4yOEA,11,True,hd,False,6150000,3543
-rn_R1aheK8,4,True,hd,False,320000,470
4OCcbUZuTUQ,4,True,hd,False,3570000,760
arijxoU5nB0,10,True,hd,False,7530000,3184
6Taz7ZzPYeI,2,True,hd,False,7500000,2232
CiCT7NCP6BY,2,True,hd,False,2790000,1744
z9i14AlzWL0,8,True,hd,False,18300000,2256
lw68FF0GEX8,0,True,hd,False,11100000,2095
gSc0o6xVnmY,3,True,hd,False,8100000,1134
YIlhmtpDjmo,16,True,hd,False,9260000,4769
8r1D-vNUWsg,10,True,hd,False,2440000,3771
6f-jjV5LJoE,6,True,hd,False,1100000,1833
QsUfsZzxi9c,11,True,hd,False,15200000,336
THQH9QJKrIE,2,True,hd,False,1670000,5366
xCkpA4_H1x4,4,True,hd,False,8060000,1940
LI1hCQ-6P0Y,4,True,hd,False,2600000,5393
EukpxRuDUzA,33,True,hd,False,2010000,2434
TUlFDVUTsKg,7,True,hd,False,1210000,4508
Idp1xvmLPHo,22,True,hd,False,12900000,3119
A5RHu1lTv14,1,True,hd,False,507000,1299
tqvEEqWGCyE,12,True,hd,False,1450000,3447
qq7MSjXHRTU,12,True,hd,False,229000,256
bpmGuPhGE0Y,2,True,hd,False,7330000,5186
XlOLx3fyf10,15,True,hd,False,1530000,4020
HkTTPu_p2ps,2,True,hd,False,24900000,4504
4UiaCC01Vwk,10,True,hd,False,5510000,4547
-n8IrFPSFCU,4,True,hd,False,751000,831
PORP0q8nThs,11,True,hd,False,2200000,1966
IxFMyYuPPyw,18,True,hd,False,6170000,3849
Of_C9g9O9KY,15,True,hd,False,4370000,1561
C8FzVistDHY,6,True,hd,False,12200000,5637
FU92piysGBg,22,True,hd,False,5630000,5046
RsmttAEp9f4,11,True,hd,False,229000,256
6i01tOMgBDU,2,True,hd,False,1550000,3709
qzdGo7FBndA,1,True,hd,False,2020000,775
rmn4F-K2RRI,28,True,hd,False,298000,1363
JxAlZOn4QhM,3,True,hd,False,2790000,1744
8tze9Z33K5A,15,True,hd,False,271000,229
hT3pPAdnlfA,9,True,hd,False,16100000,5587
Wc9_dsv5YYA,4,True,hd,False,164000,2563
aAgJernobg8,3,True,hd,False,2190000,4037
dktW5r4ldyo,3,True,hd,False,713000,1960
Djy3WNLz_mM,6,True,hd,False,9230000,2562
JSAfPh1A25E,3,True,hd,False,3570000,760
kz7gHA2N6nQ,17,True,hd,False,5390000,813
f7rq3DeFZew,3,True,hd,False,436000,916
mBiWhzeZ_bU,13,True,hd,False,706000,823
CfHieQ0SwpA,0,True,hd,False,6470000,5226
Svvesc9dW2E,9,True,hd,False,20100000,5027
5N8YRren5Z4,4,True,hd,False,1360000,3803
qQ8domUSU7M,1,True,hd,False,2040000,3006
D-ocerKPufk,4,True,hd,False,17400,456
Dz3kroYIUkU,2,True,hd,False,335000,5383
vrYcnMWWOeI,5,True,hd,False,4360000,4115
N2YxXgco_68,14,True,hd,False,2050000,1924
v97FPN2US2o,3,True,hd,False,5150000,1817
cAtazIk1IYw,8,True,hd,False,16200000,3379
NYFHnIiA8gE,11,True,hd,False,4590000,3615
czwejgoH3zs,0,True,hd,False,2350000,1729
dO6YihaqtaQ,3,True,hd,False,11100000,5328
sSjtGqRXQ9Y,1,True,hd,False,9560000,5257
kcynVTnaHw0,11,True,sd,False,229000,256
HM_fkwDB-Xg,1,True,hd,False,166000,5283
9wjvPD4-RyE,4,True,hd,False,4970000,953
FnSr820S2Mk,3,True,hd,False,3200000,5384
Uxf0f27n-m4,2,True,hd,False,1730000,5481
Jpl5mWJG2Uo,2,True,hd,False,8960000,4781
3bC2T0oFwoo,2,True,hd,False,0,0
JLsDWPsx23c,1,True,hd,False,773000,5332
OpQlY2so3Mk,3,True,hd,False,6800000,5397
bdKm5hR2mBg,2,True,hd,False,463000,3631
oxpQslt8x5s,11,True,hd,False,219000,1006
ol4BJbIZHW4,2,True,hd,False,435000,4349
i9zLv77COc8,4,True,hd,False,566000,367
3-144RjSRWI,9,True,hd,False,4050000,5653
eQhWGnKw5Hc,3,True,hd,False,897000,2779
7QJPCIBgV5g,5,True,hd,False,3460000,5451
Ea04DriyYb4,1,True,sd,False,169000,2649
Qn8dMQJlDZE,3,True,hd,False,946000,4471
8Y_NXBHm92w,9,True,hd,False,371000,5345
rr85rpSi0yI,5,True,hd,False,1070000,1754
K_uCyxNsHpo,10,True,hd,False,6860000,3768
hpMeCem6Hss,4,True,hd,False,1000000,634
gpY9qUbPXbM,4,True,hd,False,2820000,5013
uf-36RC6JHE,4,True,hd,False,320000,470
A3VYsISvUy4,12,True,hd,False,229000,256
3C66w5Z0ixs,18,True,hd,False,5230000,2167
uhZE84C5g0M,10,True,hd,False,6860000,3768
EDO8Z3O7lus,11,True,hd,False,2680000,2583
JCkyKujZplk,3,True,hd,False,221000,906
wq5vHxY8kdU,3,True,hd,False,0,0
ymyY7jez0rM,34,True,hd,False,939000,5589
ay-8L8PZ6BI,3,True,hd,False,16800,351
NvgYhf2LnVI,2,True,hd,False,1560000,1641
p35UfHw7PPI,4,True,hd,False,1340000,4165
SWlnzF8bFXM,14,True,hd,False,4250000,3800
0La8uz7WJiU,7,True,hd,False,7730000,5608
ELS5RLbSukU,10,True,hd,False,15200000,336
f8T_-E1ViVw,2,True,hd,False,1390000,3413
NSuaUok-wTY,3,True,hd,False,2760000,2086
